"","temperatuurklasse","sneeuwtype","lawine_alarm"
"1817","laag","droog","licht"
"1818","laag","nat","licht"
"1819","hoog","nat","licht"
"1820","gemiddeld","droog","licht"
"1821","gemiddeld","nat","licht"
"1822","laag","nat","licht"
"1823","hoog","droog","licht"
"1824","gemiddeld","nat","licht"
"1825","hoog","nat","sterk"
"1826","gemiddeld","droog","licht"
"1827","gemiddeld","nat","licht"
"1828","gemiddeld","droog","licht"
"1829","laag","droog","licht"
"1830","gemiddeld","nat","sterk"
"1831","hoog","droog","sterk"
"1832","laag","nat","licht"
"1833","gemiddeld","droog","licht"
"1834","laag","droog","sterk"
"1835","laag","nat","sterk"
"1836","gemiddeld","nat","licht"
"1837","gemiddeld","nat","licht"
"1838","gemiddeld","nat","licht"
"1839","laag","droog","licht"
"1840","hoog","droog","sterk"
"1841","laag","droog","sterk"
"1842","laag","droog","licht"
"1843","laag","nat","licht"
"1844","laag","droog","licht"
"1845","gemiddeld","droog","licht"
"1846","hoog","droog","licht"
"1847","hoog","droog","licht"
"1848","gemiddeld","nat","licht"
"1849","gemiddeld","nat","licht"
"1850","hoog","nat","licht"
"1851","hoog","droog","licht"
"1852","hoog","nat","licht"
"1853","hoog","nat","licht"
"1854","laag","nat","licht"
"1855","gemiddeld","droog","licht"
"1856","laag","droog","sterk"
"1857","laag","nat","licht"
"1858","laag","droog","sterk"
"1859","gemiddeld","nat","licht"
"1860","gemiddeld","droog","licht"
"1861","laag","droog","licht"
"1862","hoog","nat","licht"
"1863","laag","droog","sterk"
"1864","gemiddeld","nat","licht"
"1865","gemiddeld","droog","licht"
"1866","hoog","droog","licht"
"1867","hoog","droog","licht"
"1868","gemiddeld","nat","licht"
"1869","laag","nat","licht"
"1870","gemiddeld","nat","licht"
"1871","laag","droog","licht"
"1872","gemiddeld","nat","licht"
"1873","gemiddeld","nat","licht"
"1874","laag","nat","licht"
"1875","hoog","nat","licht"
"1876","hoog","nat","sterk"
"1877","hoog","droog","licht"
"1878","hoog","droog","sterk"
"1879","hoog","droog","licht"
"1880","gemiddeld","nat","licht"
"1881","gemiddeld","nat","licht"
"1882","laag","droog","licht"
"1883","laag","nat","licht"
"1884","hoog","nat","licht"
"1885","laag","nat","licht"
"1886","hoog","droog","licht"
"1887","gemiddeld","nat","licht"
"1888","hoog","droog","sterk"
"1889","hoog","droog","licht"
"1890","hoog","droog","licht"
"1891","laag","droog","licht"
"1892","hoog","droog","licht"
"1893","laag","nat","licht"
"1894","hoog","nat","licht"
"1895","laag","nat","licht"
"1896","laag","nat","licht"
"1897","hoog","nat","licht"
"1898","hoog","nat","licht"
"1899","gemiddeld","nat","sterk"
"1900","gemiddeld","nat","licht"
"1901","laag","droog","licht"
"1902","hoog","droog","licht"
"1903","gemiddeld","droog","licht"
"1904","laag","nat","licht"
"1905","gemiddeld","droog","licht"
"1906","hoog","droog","licht"
"1907","gemiddeld","droog","licht"
"1908","laag","droog","licht"
"1909","gemiddeld","nat","licht"
"1910","hoog","droog","licht"
"1911","gemiddeld","nat","sterk"
"1912","gemiddeld","droog","licht"
"1913","laag","droog","licht"
"1914","hoog","nat","licht"
"1915","gemiddeld","nat","sterk"
"1916","hoog","nat","licht"
"1917","hoog","nat","licht"
"1918","laag","droog","licht"
"1919","hoog","nat","licht"
"1920","hoog","droog","licht"
"1921","hoog","droog","licht"
"1922","laag","nat","sterk"
"1923","gemiddeld","droog","sterk"
"1924","gemiddeld","droog","licht"
"1925","hoog","nat","licht"
"1926","hoog","nat","sterk"
"1927","laag","droog","licht"
"1928","laag","nat","sterk"
"1929","hoog","nat","licht"
"1930","laag","nat","sterk"
"1931","hoog","nat","licht"
"1932","gemiddeld","nat","sterk"
"1933","laag","droog","licht"
"1934","gemiddeld","droog","sterk"
"1935","hoog","nat","sterk"
"1936","laag","nat","licht"
"1937","laag","droog","sterk"
"1938","hoog","nat","sterk"
"1939","hoog","nat","licht"
"1940","gemiddeld","droog","licht"
"1941","gemiddeld","droog","sterk"
"1942","laag","nat","licht"
"1943","laag","droog","licht"
"1944","hoog","nat","licht"
"1945","hoog","droog","licht"
"1946","hoog","droog","licht"
"1947","hoog","nat","sterk"
"1948","laag","droog","licht"
"1949","hoog","nat","licht"
"1950","hoog","droog","licht"
"1951","hoog","droog","licht"
"1952","hoog","nat","licht"
"1953","gemiddeld","droog","sterk"
"1954","gemiddeld","nat","licht"
"1955","gemiddeld","droog","sterk"
"1956","hoog","nat","sterk"
"1957","laag","droog","sterk"
"1958","hoog","droog","licht"
"1959","gemiddeld","nat","licht"
"1960","hoog","nat","licht"
"1961","gemiddeld","nat","licht"
"1962","hoog","nat","licht"
"1963","gemiddeld","nat","licht"
"1964","laag","nat","licht"
"1965","hoog","droog","licht"
"1966","gemiddeld","nat","licht"
"1967","laag","nat","licht"
"1968","hoog","nat","licht"
"1969","gemiddeld","droog","licht"
"1970","laag","nat","licht"
"1971","gemiddeld","nat","licht"
"1972","laag","droog","licht"
"1973","hoog","nat","licht"
"1974","hoog","nat","licht"
"1975","gemiddeld","droog","licht"
"1976","gemiddeld","droog","licht"
"1977","laag","nat","licht"
"1978","hoog","droog","sterk"
"1979","laag","droog","licht"
"1980","laag","nat","licht"
"1981","hoog","droog","licht"
"1982","gemiddeld","nat","licht"
"1983","hoog","droog","licht"
"1984","hoog","droog","licht"
"1985","gemiddeld","droog","licht"
"1986","gemiddeld","droog","licht"
"1987","laag","droog","licht"
"1988","gemiddeld","droog","licht"
"1989","gemiddeld","nat","licht"
"1990","laag","droog","sterk"
"1991","hoog","droog","licht"
"1992","hoog","droog","licht"
"1993","hoog","droog","licht"
"1994","laag","droog","sterk"
"1995","hoog","nat","licht"
"1996","laag","nat","licht"
"1997","hoog","droog","licht"
"1998","hoog","nat","licht"
"1999","hoog","droog","licht"
"2000","hoog","nat","licht"
"2001","laag","nat","licht"
"2002","laag","droog","licht"
"2003","laag","nat","licht"
"2004","gemiddeld","nat","licht"
"2005","hoog","nat","licht"
"2006","hoog","droog","licht"
"2007","gemiddeld","droog","licht"
"2008","hoog","droog","sterk"
"2009","gemiddeld","nat","licht"
"2010","gemiddeld","nat","licht"
"2011","hoog","nat","licht"
"2012","gemiddeld","nat","licht"
"2013","laag","nat","licht"
"2014","gemiddeld","nat","licht"
"2015","hoog","droog","sterk"
"2016","hoog","nat","sterk"
"2017","hoog","nat","licht"
"2018","hoog","droog","licht"
"2019","laag","droog","licht"
"2020","hoog","droog","sterk"
"2021","hoog","droog","licht"
"2022","laag","nat","licht"
"2023","gemiddeld","nat","licht"
"2024","hoog","nat","sterk"
"2025","hoog","nat","licht"
"2026","gemiddeld","nat","sterk"
"2027","hoog","nat","licht"
"2028","hoog","nat","sterk"
"2029","gemiddeld","nat","licht"
"2030","gemiddeld","nat","licht"
"2031","gemiddeld","droog","sterk"
"2032","hoog","nat","sterk"
"2033","hoog","droog","licht"
"2034","laag","droog","licht"
"2035","hoog","nat","sterk"
"2036","hoog","droog","licht"
"2037","hoog","droog","sterk"
"2038","gemiddeld","droog","licht"
"2039","laag","droog","sterk"
"2040","hoog","nat","licht"
"2041","hoog","nat","licht"
"2042","hoog","nat","licht"
"2043","laag","droog","sterk"
"2044","hoog","droog","licht"
"2045","laag","nat","licht"
"2046","hoog","droog","licht"
"2047","laag","droog","licht"
"2048","hoog","nat","licht"
"2049","gemiddeld","droog","licht"
"2050","laag","droog","licht"
"2051","hoog","nat","licht"
"2052","gemiddeld","nat","licht"
"2053","hoog","droog","licht"
"2054","hoog","nat","licht"
"2055","laag","nat","licht"
"2056","gemiddeld","droog","sterk"
"2057","hoog","nat","licht"
"2058","hoog","nat","licht"
"2059","gemiddeld","droog","licht"
"2060","hoog","nat","licht"
"2061","hoog","droog","licht"
"2062","gemiddeld","droog","licht"
"2063","hoog","droog","licht"
"2064","laag","nat","licht"
"2065","hoog","droog","licht"
"2066","gemiddeld","droog","licht"
"2067","gemiddeld","nat","licht"
"2068","gemiddeld","droog","licht"
"2069","laag","droog","licht"
"2070","hoog","nat","licht"
"2071","gemiddeld","nat","licht"
"2072","laag","nat","licht"
"2073","gemiddeld","nat","licht"
"2074","laag","droog","licht"
"2075","laag","nat","licht"
"2076","hoog","nat","licht"
"2077","laag","droog","sterk"
"2078","gemiddeld","droog","licht"
"2079","gemiddeld","nat","licht"
"2080","hoog","droog","sterk"
"2081","gemiddeld","nat","sterk"
"2082","gemiddeld","droog","licht"
"2083","gemiddeld","nat","licht"
"2084","hoog","droog","licht"
"2085","hoog","nat","licht"
"2086","laag","droog","licht"
"2087","hoog","nat","licht"
"2088","gemiddeld","droog","licht"
"2089","laag","droog","licht"
"2090","gemiddeld","nat","licht"
"2091","laag","droog","sterk"
"2092","gemiddeld","nat","licht"
"2093","laag","droog","licht"
"2094","hoog","nat","licht"
"2095","gemiddeld","droog","licht"
"2096","hoog","nat","licht"
"2097","gemiddeld","droog","licht"
"2098","laag","droog","licht"
"2099","gemiddeld","nat","sterk"
"2100","gemiddeld","nat","licht"
"2101","gemiddeld","droog","licht"
"2102","gemiddeld","nat","licht"
"2103","gemiddeld","droog","licht"
"2104","hoog","nat","sterk"
"2105","hoog","droog","licht"
"2106","laag","droog","sterk"
"2107","laag","nat","licht"
"2108","hoog","droog","licht"
"2109","laag","nat","sterk"
"2110","gemiddeld","droog","licht"
"2111","gemiddeld","nat","licht"
"2112","hoog","nat","sterk"
"2113","laag","droog","sterk"
"2114","laag","droog","sterk"
"2115","hoog","droog","sterk"
"2116","hoog","nat","licht"
"2117","laag","nat","licht"
"2118","laag","nat","licht"
"2119","hoog","droog","sterk"
"2120","laag","droog","sterk"
"2121","hoog","nat","licht"
"2122","hoog","droog","licht"
"2123","laag","nat","licht"
"2124","hoog","nat","licht"
"2125","laag","droog","licht"
"2126","gemiddeld","nat","licht"
"2127","hoog","droog","licht"
"2128","hoog","droog","licht"
"2129","hoog","nat","licht"
"2130","laag","droog","licht"
"2131","hoog","droog","licht"
"2132","laag","nat","licht"
"2133","hoog","droog","licht"
"2134","laag","droog","sterk"
"2135","hoog","nat","licht"
"2136","hoog","droog","sterk"
"2137","hoog","nat","licht"
"2138","laag","nat","licht"
"2139","gemiddeld","droog","licht"
"2140","gemiddeld","droog","licht"
"2141","laag","droog","sterk"
"2142","hoog","droog","licht"
"2143","hoog","nat","licht"
"2144","hoog","droog","sterk"
"2145","gemiddeld","nat","licht"
"2146","hoog","droog","licht"
"2147","gemiddeld","droog","licht"
"2148","hoog","droog","licht"
"2149","laag","droog","licht"
"2150","gemiddeld","droog","licht"
"2151","hoog","droog","licht"
"2152","gemiddeld","nat","licht"
"2153","hoog","nat","licht"
"2154","hoog","nat","sterk"
"2155","hoog","droog","licht"
"2156","gemiddeld","droog","licht"
"2157","gemiddeld","droog","licht"
"2158","gemiddeld","droog","licht"
"2159","gemiddeld","droog","sterk"
"2160","hoog","nat","licht"
"2161","laag","nat","licht"
"2162","laag","droog","licht"
"2163","gemiddeld","droog","licht"
"2164","hoog","droog","licht"
"2165","gemiddeld","droog","licht"
"2166","laag","nat","licht"
"2167","gemiddeld","nat","licht"
"2168","hoog","nat","sterk"
"2169","gemiddeld","droog","licht"
"2170","hoog","droog","licht"
"2171","hoog","droog","licht"
"2172","hoog","droog","sterk"
"2173","laag","droog","sterk"
"2174","gemiddeld","droog","licht"
"2175","hoog","nat","licht"
"2176","hoog","nat","licht"
"2177","gemiddeld","droog","licht"
"2178","gemiddeld","droog","licht"
"2179","gemiddeld","droog","sterk"
"2180","gemiddeld","nat","licht"
"2181","laag","nat","licht"
"2182","laag","nat","sterk"
"2183","laag","droog","sterk"
"2184","hoog","nat","licht"
"2185","hoog","droog","licht"
"2186","laag","nat","licht"
"2187","gemiddeld","droog","licht"
"2188","hoog","droog","licht"
"2189","gemiddeld","droog","licht"
"2190","hoog","nat","licht"
"2191","hoog","nat","licht"
"2192","laag","droog","sterk"
"2193","laag","nat","licht"
"2194","laag","droog","licht"
"2195","laag","droog","licht"
"2196","hoog","nat","licht"
"2197","hoog","droog","licht"
"2198","gemiddeld","droog","licht"
"2199","gemiddeld","droog","licht"
"2200","hoog","nat","licht"
"2201","gemiddeld","nat","sterk"
"2202","laag","droog","licht"
"2203","hoog","nat","sterk"
"2204","gemiddeld","nat","licht"
"2205","laag","droog","licht"
"2206","gemiddeld","nat","sterk"
"2207","gemiddeld","nat","licht"
"2208","hoog","droog","licht"
"2209","gemiddeld","nat","licht"
"2210","hoog","droog","licht"
"2211","gemiddeld","droog","licht"
"2212","laag","droog","licht"
"2213","hoog","nat","licht"
"2214","gemiddeld","droog","licht"
"2215","hoog","nat","sterk"
"2216","gemiddeld","droog","licht"
"2217","gemiddeld","nat","licht"
"2218","hoog","nat","licht"
"2219","gemiddeld","droog","licht"
"2220","hoog","nat","licht"
"2221","gemiddeld","droog","licht"
"2222","gemiddeld","nat","licht"
"2223","laag","droog","licht"
"2224","hoog","droog","sterk"
"2225","gemiddeld","nat","sterk"
"2226","hoog","droog","licht"
"2227","gemiddeld","droog","licht"
"2228","hoog","droog","licht"
"2229","hoog","droog","licht"
"2230","gemiddeld","droog","licht"
"2231","laag","droog","licht"
"2232","hoog","nat","licht"
"2233","hoog","nat","sterk"
"2234","hoog","droog","licht"
"2235","hoog","nat","licht"
"2236","gemiddeld","droog","licht"
"2237","gemiddeld","droog","licht"
"2238","hoog","nat","licht"
"2239","hoog","droog","sterk"
"2240","laag","nat","licht"
"2241","gemiddeld","droog","licht"
"2242","hoog","droog","licht"
"2243","hoog","nat","licht"
"2244","hoog","nat","licht"
"2245","hoog","nat","licht"
"2246","hoog","nat","licht"
"2247","hoog","droog","licht"
"2248","hoog","nat","licht"
"2249","laag","droog","licht"
"2250","laag","droog","licht"
"2251","hoog","nat","licht"
"2252","laag","droog","sterk"
"2253","gemiddeld","droog","licht"
"2254","hoog","nat","licht"
"2255","hoog","nat","sterk"
"2256","hoog","droog","licht"
"2257","hoog","nat","licht"
"2258","hoog","nat","licht"
"2259","hoog","nat","sterk"
"2260","laag","nat","licht"
"2261","laag","droog","sterk"
"2262","gemiddeld","droog","licht"
"2263","hoog","nat","licht"
"2264","hoog","nat","licht"
"2265","hoog","droog","licht"
"2266","gemiddeld","droog","licht"
"2267","hoog","droog","licht"
"2268","laag","nat","licht"
"2269","gemiddeld","nat","licht"
"2270","laag","droog","licht"
"2271","laag","droog","sterk"
"2272","gemiddeld","nat","licht"
"2273","hoog","nat","licht"
"2274","hoog","nat","licht"
"2275","hoog","nat","licht"
"2276","laag","droog","sterk"
"2277","laag","droog","licht"
"2278","gemiddeld","nat","licht"
"2279","hoog","droog","licht"
"2280","laag","droog","licht"
"2281","laag","droog","licht"
"2282","laag","droog","licht"
"2283","gemiddeld","nat","licht"
"2284","hoog","nat","licht"
"2285","hoog","droog","licht"
"2286","laag","droog","licht"
"2287","laag","droog","licht"
"2288","gemiddeld","nat","licht"
"2289","laag","nat","licht"
"2290","hoog","nat","licht"
"2291","hoog","nat","licht"
"2292","gemiddeld","nat","licht"
"2293","hoog","droog","licht"
"2294","gemiddeld","nat","licht"
"2295","hoog","droog","sterk"
"2296","gemiddeld","droog","licht"
"2297","laag","droog","licht"
"2298","gemiddeld","droog","licht"
"2299","hoog","nat","licht"
"2300","laag","nat","licht"
"2301","hoog","droog","licht"
"2302","laag","droog","licht"
"2303","gemiddeld","droog","licht"
"2304","gemiddeld","nat","licht"
"2305","laag","droog","licht"
"2306","hoog","nat","licht"
"2307","hoog","droog","licht"
"2308","laag","nat","licht"
"2309","gemiddeld","droog","sterk"
"2310","laag","droog","licht"
"2311","hoog","nat","licht"
"2312","hoog","droog","licht"
"2313","gemiddeld","nat","licht"
"2314","hoog","droog","licht"
"2315","gemiddeld","nat","sterk"
"2316","gemiddeld","nat","licht"
"2317","gemiddeld","droog","licht"
"2318","gemiddeld","droog","licht"
"2319","hoog","droog","licht"
"2320","gemiddeld","droog","licht"
"2321","hoog","droog","licht"
"2322","laag","nat","licht"
"2323","laag","nat","licht"
"2324","gemiddeld","droog","licht"
"2325","gemiddeld","droog","licht"
"2326","hoog","nat","licht"
"2327","gemiddeld","droog","licht"
"2328","gemiddeld","droog","licht"
"2329","hoog","nat","licht"
"2330","laag","droog","sterk"
"2331","hoog","droog","licht"
"2332","hoog","nat","licht"
"2333","laag","droog","licht"
"2334","hoog","droog","licht"
"2335","hoog","droog","sterk"
"2336","laag","nat","licht"
"2337","hoog","nat","licht"
"2338","hoog","droog","licht"
"2339","hoog","nat","licht"
"2340","gemiddeld","droog","licht"
"2341","hoog","nat","licht"
"2342","gemiddeld","droog","licht"
"2343","hoog","droog","licht"
"2344","laag","nat","licht"
"2345","gemiddeld","nat","sterk"
"2346","laag","droog","licht"
"2347","laag","nat","licht"
"2348","gemiddeld","droog","licht"
"2349","laag","nat","licht"
"2350","laag","nat","licht"
"2351","laag","droog","sterk"
"2352","laag","nat","sterk"
"2353","hoog","droog","sterk"
"2354","laag","droog","licht"
"2355","laag","nat","licht"
"2356","hoog","nat","licht"
"2357","hoog","droog","licht"
"2358","laag","droog","sterk"
"2359","gemiddeld","droog","licht"
"2360","hoog","droog","licht"
"2361","laag","nat","licht"
"2362","hoog","nat","licht"
"2363","gemiddeld","droog","licht"
"2364","gemiddeld","nat","licht"
"2365","hoog","nat","licht"
"2366","gemiddeld","nat","licht"
"2367","hoog","nat","licht"
"2368","gemiddeld","nat","licht"
"2369","laag","droog","licht"
"2370","gemiddeld","droog","licht"
"2371","laag","droog","licht"
"2372","gemiddeld","nat","licht"
"2373","gemiddeld","droog","sterk"
"2374","hoog","droog","licht"
"2375","hoog","droog","licht"
"2376","gemiddeld","droog","licht"
"2377","laag","droog","licht"
"2378","laag","droog","licht"
"2379","hoog","droog","sterk"
"2380","hoog","droog","licht"
"2381","laag","droog","licht"
"2382","gemiddeld","nat","sterk"
"2383","hoog","droog","licht"
"2384","gemiddeld","droog","licht"
"2385","hoog","droog","licht"
"2386","laag","nat","licht"
"2387","laag","droog","licht"
"2388","hoog","nat","licht"
"2389","hoog","nat","sterk"
"2390","hoog","droog","licht"
"2391","hoog","nat","licht"
"2392","gemiddeld","nat","licht"
"2393","gemiddeld","nat","licht"
"2394","hoog","droog","licht"
"2395","hoog","droog","sterk"
"2396","gemiddeld","nat","licht"
"2397","hoog","droog","sterk"
"2398","gemiddeld","nat","licht"
"2399","hoog","nat","licht"
"2400","hoog","droog","licht"
"2401","hoog","droog","licht"
"2402","hoog","droog","licht"
"2403","laag","droog","licht"
"2404","laag","nat","sterk"
"2405","hoog","nat","licht"
"2406","gemiddeld","nat","licht"
"2407","hoog","nat","licht"
"2408","laag","nat","licht"
"2409","laag","droog","licht"
"2410","hoog","droog","licht"
"2411","laag","droog","sterk"
"2412","laag","nat","licht"
"2413","gemiddeld","nat","licht"
"2414","gemiddeld","droog","licht"
"2415","gemiddeld","nat","licht"
"2416","hoog","nat","licht"
"2417","laag","droog","sterk"
"2418","gemiddeld","nat","licht"
"2419","laag","droog","sterk"
"2420","gemiddeld","droog","licht"
"2421","hoog","nat","licht"
"2422","gemiddeld","droog","licht"
"2423","laag","droog","sterk"
"2424","gemiddeld","droog","licht"
"2425","gemiddeld","droog","licht"
"2426","gemiddeld","nat","licht"
"2427","hoog","nat","licht"
"2428","gemiddeld","droog","licht"
"2429","laag","nat","licht"
"2430","hoog","droog","licht"
"2431","laag","nat","licht"
"2432","gemiddeld","nat","licht"
"2433","laag","droog","licht"
"2434","hoog","nat","licht"
"2435","hoog","droog","licht"
"2436","laag","nat","sterk"
"2437","laag","droog","licht"
"2438","gemiddeld","droog","licht"
"2439","gemiddeld","droog","licht"
"2440","laag","nat","licht"
"2441","hoog","nat","licht"
"2442","hoog","nat","licht"
"2443","laag","nat","licht"
"2444","gemiddeld","droog","licht"
"2445","gemiddeld","nat","licht"
"2446","laag","nat","licht"
"2447","gemiddeld","droog","licht"
"2448","laag","droog","sterk"
"2449","gemiddeld","nat","licht"
"2450","hoog","nat","licht"
"2451","gemiddeld","droog","licht"
"2452","laag","droog","licht"
"2453","hoog","nat","licht"
"2454","laag","droog","licht"
"2455","gemiddeld","nat","licht"
"2456","hoog","droog","licht"
"2457","laag","nat","licht"
"2458","laag","droog","sterk"
"2459","gemiddeld","nat","licht"
"2460","hoog","droog","licht"
"2461","hoog","droog","licht"
"2462","hoog","nat","licht"
"2463","laag","droog","licht"
"2464","gemiddeld","nat","licht"
"2465","gemiddeld","droog","licht"
"2466","hoog","droog","licht"
"2467","hoog","nat","licht"
"2468","laag","nat","licht"
"2469","hoog","nat","licht"
"2470","gemiddeld","droog","licht"
"2471","laag","droog","licht"
"2472","hoog","droog","licht"
"2473","gemiddeld","droog","licht"
"2474","hoog","nat","licht"
"2475","gemiddeld","droog","sterk"
"2476","gemiddeld","nat","licht"
"2477","hoog","droog","licht"
"2478","hoog","nat","licht"
"2479","hoog","nat","licht"
"2480","hoog","nat","licht"
"2481","gemiddeld","droog","licht"
"2482","hoog","droog","licht"
"2483","laag","droog","licht"
"2484","hoog","nat","licht"
"2485","hoog","droog","licht"
"2486","gemiddeld","nat","sterk"
"2487","hoog","nat","licht"
"2488","gemiddeld","droog","licht"
"2489","hoog","droog","licht"
"2490","gemiddeld","droog","sterk"
"2491","hoog","nat","licht"
"2492","hoog","droog","licht"
"2493","laag","droog","licht"
"2494","hoog","droog","licht"
"2495","gemiddeld","droog","licht"
"2496","laag","nat","licht"
"2497","hoog","nat","sterk"
"2498","laag","droog","licht"
"2499","hoog","nat","licht"
"2500","hoog","nat","sterk"
"2501","gemiddeld","droog","licht"
"2502","hoog","droog","licht"
"2503","laag","droog","sterk"
"2504","gemiddeld","droog","licht"
"2505","laag","nat","sterk"
"2506","gemiddeld","nat","licht"
"2507","laag","nat","licht"
"2508","hoog","nat","licht"
"2509","hoog","nat","licht"
"2510","hoog","nat","licht"
"2511","hoog","nat","licht"
"2512","gemiddeld","droog","licht"
"2513","gemiddeld","droog","licht"
"2514","laag","droog","sterk"
"2515","gemiddeld","droog","licht"
"2516","hoog","nat","licht"
"2517","gemiddeld","nat","licht"
"2518","laag","droog","sterk"
"2519","hoog","nat","licht"
"2520","laag","droog","licht"
"2521","hoog","droog","licht"
"2522","gemiddeld","droog","licht"
"2523","hoog","nat","licht"
"2524","hoog","nat","licht"
"2525","hoog","nat","licht"
"2526","gemiddeld","nat","licht"
"2527","hoog","nat","licht"
"2528","laag","nat","licht"
"2529","hoog","nat","licht"
"2530","laag","droog","sterk"
"2531","gemiddeld","droog","sterk"
"2532","gemiddeld","nat","licht"
"2533","gemiddeld","nat","licht"
"2534","hoog","droog","licht"
"2535","hoog","nat","licht"
"2536","laag","nat","licht"
"2537","hoog","nat","licht"
"2538","laag","nat","licht"
"2539","laag","droog","licht"
"2540","hoog","droog","sterk"
"2541","laag","nat","licht"
"2542","hoog","nat","licht"
"2543","laag","nat","licht"
"2544","gemiddeld","nat","licht"
"2545","laag","nat","sterk"
"2546","gemiddeld","nat","sterk"
"2547","hoog","droog","sterk"
"2548","gemiddeld","nat","licht"
"2549","laag","droog","sterk"
"2550","hoog","droog","licht"
"2551","laag","nat","licht"
"2552","hoog","droog","licht"
"2553","gemiddeld","nat","licht"
"2554","laag","droog","sterk"
"2555","gemiddeld","nat","licht"
"2556","laag","droog","licht"
"2557","gemiddeld","nat","licht"
"2558","gemiddeld","droog","licht"
"2559","gemiddeld","nat","licht"
"2560","hoog","nat","sterk"
"2561","hoog","nat","licht"
"2562","gemiddeld","droog","licht"
"2563","laag","droog","licht"
"2564","hoog","nat","sterk"
"2565","laag","nat","licht"
"2566","laag","nat","licht"
"2567","laag","nat","licht"
"2568","hoog","droog","licht"
"2569","gemiddeld","nat","licht"
"2570","gemiddeld","droog","licht"
"2571","gemiddeld","nat","sterk"
"2572","gemiddeld","droog","licht"
"2573","gemiddeld","nat","licht"
"2574","hoog","droog","sterk"
"2575","laag","droog","licht"
"2576","laag","droog","licht"
"2577","laag","droog","sterk"
"2578","laag","droog","licht"
"2579","gemiddeld","droog","sterk"
"2580","hoog","droog","licht"
"2581","laag","droog","licht"
"2582","gemiddeld","nat","sterk"
"2583","gemiddeld","droog","licht"
"2584","gemiddeld","droog","sterk"
"2585","gemiddeld","nat","licht"
"2586","gemiddeld","droog","licht"
"2587","laag","nat","sterk"
"2588","gemiddeld","droog","licht"
"2589","laag","droog","sterk"
"2590","hoog","nat","licht"
"2591","gemiddeld","nat","sterk"
"2592","hoog","nat","licht"
"2593","hoog","nat","licht"
"2594","hoog","nat","sterk"
"2595","gemiddeld","droog","licht"
"2596","gemiddeld","nat","licht"
"2597","hoog","nat","sterk"
"2598","hoog","nat","licht"
"2599","gemiddeld","droog","licht"
"2600","gemiddeld","droog","sterk"
"2601","gemiddeld","droog","licht"
"2602","hoog","droog","licht"
"2603","laag","droog","licht"
"2604","gemiddeld","droog","licht"
"2605","hoog","nat","licht"
"2606","gemiddeld","droog","licht"
"2607","hoog","droog","licht"
"2608","gemiddeld","droog","sterk"
"2609","laag","droog","licht"
"2610","hoog","nat","sterk"
"2611","gemiddeld","nat","sterk"
"2612","laag","nat","licht"
"2613","hoog","droog","licht"
"2614","gemiddeld","droog","licht"
"2615","hoog","nat","sterk"
"2616","hoog","droog","licht"
"2617","hoog","nat","sterk"
"2618","hoog","droog","licht"
"2619","gemiddeld","droog","licht"
"2620","gemiddeld","nat","licht"
"2621","hoog","nat","licht"
"2622","hoog","nat","sterk"
"2623","laag","nat","licht"
"2624","hoog","droog","licht"
"2625","gemiddeld","droog","licht"
"2626","hoog","nat","sterk"
"2627","gemiddeld","droog","licht"
"2628","gemiddeld","nat","licht"
"2629","gemiddeld","nat","licht"
"2630","gemiddeld","droog","licht"
"2631","hoog","droog","sterk"
"2632","laag","droog","licht"
"2633","gemiddeld","nat","licht"
"2634","hoog","droog","licht"
"2635","laag","droog","licht"
"2636","hoog","droog","licht"
"2637","hoog","droog","sterk"
"2638","hoog","nat","licht"
"2639","laag","droog","licht"
"2640","laag","nat","licht"
"2641","hoog","nat","sterk"
"2642","hoog","nat","licht"
"2643","laag","nat","licht"
"2644","gemiddeld","droog","sterk"
"2645","gemiddeld","droog","licht"
"2646","laag","nat","licht"
"2647","hoog","droog","sterk"
"2648","hoog","droog","licht"
"2649","gemiddeld","nat","licht"
"2650","hoog","droog","licht"
"2651","hoog","droog","licht"
"2652","hoog","nat","licht"
"2653","laag","nat","sterk"
"2654","hoog","droog","licht"
"2655","hoog","droog","licht"
"2656","gemiddeld","nat","sterk"
"2657","hoog","nat","licht"
"2658","hoog","droog","licht"
"2659","hoog","nat","licht"
"2660","hoog","nat","licht"
"2661","hoog","droog","licht"
"2662","hoog","nat","licht"
"2663","hoog","nat","licht"
"2664","hoog","droog","licht"
"2665","gemiddeld","nat","licht"
"2666","laag","droog","licht"
"2667","hoog","droog","licht"
"2668","laag","droog","licht"
"2669","hoog","nat","licht"
"2670","laag","nat","licht"
"2671","gemiddeld","nat","licht"
"2672","laag","droog","licht"
"2673","hoog","nat","licht"
"2674","gemiddeld","droog","licht"
"2675","laag","nat","licht"
"2676","hoog","droog","licht"
"2677","gemiddeld","droog","licht"
"2678","gemiddeld","droog","licht"
"2679","gemiddeld","droog","licht"
"2680","gemiddeld","droog","licht"
"2681","hoog","nat","licht"
"2682","hoog","droog","licht"
"2683","hoog","droog","licht"
"2684","hoog","droog","licht"
"2685","hoog","droog","sterk"
"2686","laag","droog","sterk"
"2687","laag","droog","licht"
"2688","hoog","droog","licht"
"2689","laag","droog","sterk"
"2690","hoog","nat","licht"
"2691","laag","nat","licht"
"2692","gemiddeld","nat","licht"
"2693","hoog","nat","licht"
"2694","hoog","droog","licht"
"2695","hoog","droog","licht"
"2696","laag","nat","licht"
